#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
1.56555000e+02 1.38610960e-03 6.628634036266965268e+03 1.739480626046965028e+02 1.509417686930711170e+04 
1.64000000e+02 1.58976529e-03 6.801686667845912780e+03 1.603262960722915409e+02 1.548575581667553161e+04 
1.72585000e+02 1.34277553e-03 7.016757621529101925e+03 2.015050933608656578e+02 1.587733476404395333e+04 
1.96590000e+02 1.97623752e-03 8.109033831616524367e+03 1.588362523230148042e+02 1.626891371141237323e+04 
1.90012000e+02 1.89508853e-03 7.362862884686996949e+03 1.594170357658856290e+02 1.666049265878079677e+04 
1.99486000e+02 1.89681722e-03 7.535915516265944461e+03 1.682101038871814467e+02 1.705207160614921668e+04 
2.09481000e+02 2.11553938e-03 7.708968147844891064e+03 1.592312891566078576e+02 1.744365055351763658e+04 
2.08220000e+02 2.07833118e-03 7.313121132709249650e+03 1.610036529483234347e+02 1.783522950088606012e+04 
2.25511000e+02 2.29973869e-03 7.800245356502924551e+03 1.588058839397746738e+02 1.822680844825448003e+04 
2.80800000e+02 2.80842995e-03 9.570528773109070244e+03 1.599825031374516868e+02 1.861838739562289993e+04 
2.57361000e+02 2.63432683e-03 8.401178674160681112e+03 1.581649996823445576e+02 1.900996634299131983e+04 
2.97468000e+02 2.92994494e-03 9.345415902433827796e+03 1.612793628156658485e+02 1.940154529035974338e+04 
2.89908000e+02 2.56333291e-03 8.747283937318576136e+03 1.802264041869382822e+02 1.979312423772816328e+04 
3.14498000e+02 3.08359158e-03 9.136419796432383009e+03 1.609481070091133290e+02 2.018470318509658318e+04 
2.55148000e+02 2.60997940e-03 7.108034830187134503e+03 1.584608871645052091e+02 2.057628213246500673e+04 
3.53967000e+02 3.41512971e-03 9.545116797679824231e+03 1.614624415520649450e+02 2.096786107983342663e+04 
3.63136000e+02 3.06300091e-03 9.439494463634364365e+03 1.842025312618710018e+02 2.135944002720184653e+04 
3.80597000e+02 3.68928228e-03 9.546379529092466328e+03 1.595529357767905481e+02 2.175101897457027007e+04 
